or,se,ll,ul,p.value,race,model
0.6846128955616915,0.4572277405110449,0.27941654421043316,1.6774053880516886,0.40745644306925155,Black,unweighted
0.6573859529108346,0.6198607494253285,0.19507157627873747,2.2153729381208187,0.498748137407262,Black,unweighted
0.8508351139901422,0.16793927525861335,0.6122026916039037,1.1824848226361542,0.33634188605408033,Black,unweighted
1.0943048633265793,0.010151796313140737,1.0727464960029554,1.1162964767184884,5.7963150683647446e-18,Black,unweighted
2.0208038662336363,0.1948028557613123,1.379455428769732,2.9603336074633573,3.1898298207706983e-4,Black,unweighted
0.9743780990090971,0.18074068203577573,0.6837239080844348,1.3885907288053125,0.8858361948556266,Black,unweighted
0.4894946611102753,0.3183119945552643,0.26230121262622197,0.9134728004361126,0.025117652513340492,Black,unweighted
1.018077461618748,0.21130233008205648,0.6728526289520419,1.5404290230245197,0.9324519701075678,Black,unweighted
0.0014817026982404907,1.7609812443388153,4.696897892384552e-5,0.04674240182084427,3.1031101447784846e-4,indigenous,unweighted
1.0367845327028262,0.3278532994407306,0.545279631317655,1.971322795708129,0.9124758025067788,indigenous,unweighted
1.7319178182660162,0.1936228407795317,1.1849914572201512,2.531275066120628,0.005510471290253225,indigenous,unweighted
1.2578278837743448,0.13470507823869854,0.9659620122709947,1.6378811641677578,0.09104668637191014,indigenous,unweighted
1.173893659347191,0.42011098427772414,0.5152638078794785,2.6744093071987365,0.7033648930982414,indigenous,unweighted
0.9681723997559762,0.49636100658649673,0.3659733344673942,2.561273479154963,0.948154029741936,indigenous,unweighted
0.9177180783365132,0.7906748429999514,0.19484337359527795,4.322479413926928,0.9136834800761341,indigenous,unweighted
1.2015634756363616,0.9398222355015968,0.19044456420208541,7.580971355272337,0.8453933451681542,indigenous,unweighted
1.2669861184426014,0.45607762444492417,0.5182721580645888,3.097318270618344,0.6046949230818689,indigenous,unweighted
1.061428955444756,0.027301808643352025,1.0061241864281183,1.119773724410945,0.031172222650369605,indigenous,unweighted
1.1112035917337206,0.596781673673369,0.3449944868308832,3.5791105928229197,0.8600533141436273,indigenous,unweighted
1.2763372057400904,0.5813645159224402,0.40842005188080865,3.988630468201969,0.6755310788623257,indigenous,unweighted
0.5122020285922473,0.7274539336739844,0.12309244074743912,2.1313324888268697,0.35934730230120915,indigenous,unweighted
0.8904595882179372,0.5488707993401959,0.303678847962999,2.6110421702662334,0.8329076121676985,indigenous,unweighted
2.7711987455461247e-4,0.49292295247784496,1.0546075979843867e-4,7.281895656729474e-4,7.816905776213843e-57,latinx,unweighted
1.6785655530982397,0.08468248555884801,1.421858714325153,1.9816190509373426,1.4097390588926896e-9,latinx,unweighted
1.292226189866499,0.04563607355819075,1.1816613819198465,1.4131362430274945,2.5948541126281408e-8,latinx,unweighted
1.2018596400200428,0.03451950542124319,1.1232351742164213,1.2859876786860591,1.1926414059859692e-7,latinx,unweighted
1.2843098745114794,0.11077120157066678,1.0336683147331636,1.5957264339610624,0.024023875846120566,latinx,unweighted
1.4043749486160482,0.13034249851817561,1.0877656441327033,1.8131377902386836,0.009249150627030536,latinx,unweighted
0.7709103281765434,0.15428185808321082,0.5697428824400032,1.0431069038442073,0.09201350981418634,latinx,unweighted
0.6545323550294534,0.1667184606661715,0.4720848991033627,0.9074905903452797,0.011173792048020435,latinx,unweighted
0.8530305462382584,0.12781028770951783,0.6640064056197037,1.0958645980778305,0.21384013699720958,latinx,unweighted
1.0937913463646523,0.0076264376484871275,1.0775634388702986,1.1102636431656079,2.2853155657435286e-30,latinx,unweighted
1.5611677545368208,0.15685827453020548,1.1479727183068533,2.1230859574783585,0.004566350845561315,latinx,unweighted
1.0854528220689237,0.1332949509499022,0.8358918371004644,1.409521874294585,0.5385539892490572,latinx,unweighted
0.6193685623254253,0.23499136995587347,0.3907726329398644,0.9816895648782517,0.04178921171611053,latinx,unweighted
0.8830035952472445,0.16709377074251114,0.6364026748351743,1.2251603898765786,0.456690315107823,latinx,unweighted
1.589731495884903e-4,0.7764132942213825,3.470879883894523e-5,7.281284036175682e-4,9.960902930688418e-28,Multiracial,unweighted
1.8574821279347282,0.11126664571536327,1.4935312130383862,2.310122363347119,4.0828653423038925e-8,Multiracial,unweighted
1.3586297818699518,0.06369681857852254,1.1991742659050821,1.5392882724937484,1.8135272151952276e-6,Multiracial,unweighted
1.0949119203615008,0.04560109947217406,1.0012982513858941,1.1972777458568504,0.047090062398178784,Multiracial,unweighted
1.4307821217202277,0.1428200042459132,1.0814461448219763,1.8929629456224368,0.012280543657634126,Multiracial,unweighted
1.362841047191503,0.15725828042349219,1.0013518731553575,1.8548282274215815,0.049311310968505113,Multiracial,unweighted
1.439030878406165,0.3910204009930347,0.6687024960408348,3.096758096862201,0.3521641047268397,Multiracial,unweighted
2.0151720607323433,0.5329287656734072,0.7090589537444196,5.727194350922755,0.18885174921065048,Multiracial,unweighted
0.6444133772159392,0.16868217474891542,0.4630010967741678,0.8969063002833504,0.009400979223990967,Multiracial,unweighted
1.0959739965574535,0.010092187078183672,1.0745082760207445,1.1178685431613444,6.484185710903154e-19,Multiracial,unweighted
1.413370066575733,0.2043075835825087,0.9469977754481361,2.109418835906964,0.09072003592548569,Multiracial,unweighted
0.9691934311244981,0.1710966022438428,0.6930630893143898,1.355339681794499,0.8549285578840856,Multiracial,unweighted
0.38477908645260983,0.2784689841609334,0.222934986459169,0.6641171389149435,6.339922021008768e-4,Multiracial,unweighted
0.8371373308833948,0.20319225478986339,0.5621330866443084,1.2466779262932934,0.38192598658514587,Multiracial,unweighted
2.0647174480954925e-4,0.3410193845159922,1.0582405561570729e-4,4.028439578946932e-4,1.7229977956306766e-126,White,unweighted
1.8674564374086056,0.043460987178043683,1.7149695776181617,2.0335016965503923,5.640707345847523e-43,White,unweighted
1.4591194531938623,0.024994502441735646,1.3893622305760391,1.5323790526578842,1.7690026021403283e-49,White,unweighted
1.0771797377993386,0.01788416923024265,1.040076163004457,1.1156069418740053,3.353649333088465e-5,White,unweighted
1.4459476554069972,0.05473206172630173,1.2988666203704025,1.609683850048253,1.9245831984217174e-11,White,unweighted
1.2495316594004269,0.06060530730086288,1.1095833550453404,1.4071312089754484,2.4035404423958926e-4,White,unweighted
0.886493342985232,0.2395207112419233,0.5543640764330386,1.417607093543438,0.614970607336544,White,unweighted
1.00323288845832,0.33758974863357494,0.5176602836378569,1.9442794054266899,0.9923720968673629,White,unweighted
0.6927938410401535,0.07438826629151411,0.5988038873658739,0.8015367239757215,8.598768605916292e-7,White,unweighted
1.090773734472962,0.0038423635114652487,1.082590086763399,1.0990192450156078,1.3598543012178426e-104,White,unweighted
2.0404051242956864,0.07319309881637096,1.7677234651783256,2.355149520421234,7.172551217786582e-22,White,unweighted
0.8733882054296681,0.06773772271082856,0.7648017423026177,0.9973917620624717,0.045718443543417676,White,unweighted
0.7736419631537979,0.09158317334665005,0.6465234471058106,0.9257543401276019,0.005106601431281576,White,unweighted
0.6490108492886709,0.08110235971263376,0.5536273070458406,0.7608278658471683,1.0463460665448455e-7,White,unweighted
